19: [0.7791648293791147, -0.5939697421321823]

37: [0.791871208059717, -0.6469912108178868]

1: [0.8640960175308401, -0.9577030363841507]

61: [0.9096302835444752, -0.7420730850404185]

10: [0.8066961440630334, -0.7814003840546494]

53: [0.808655818459428, -0.7709401041805769]

45: [0.918876470831171, -0.9004415267044527]

77: [1.1387987240541635, -0.7796720772739131]

69: [0.8994346678184738, -0.7211743401414863]

85: [0.9952567226540942, -0.8612289633956511]

28: [0.9483441232270833, -0.7878154853298355]

93: [0.9339213343818953, -0.9185692581052185]

2: [0.8528442835661689, -0.761532676796599]

38: [0.780023767939732, -0.6820236130291225]

20: [0.8576842045822977, -0.6995230802233151]

70: [0.6992007311899286, -0.5735267381975364]

62: [0.8501188784901528, -0.8157001481669597]

29: [0.7174214716833506, -0.6327325698486892]

78: [1.1380674435450833, -0.5043880795878078]

46: [0.9439999246999098, -0.8743388961837913]

54: [0.9568308084136852, -0.9515903748995264]

11: [1.0599747659090872, -0.7722813019073862]

86: [0.8154048654603414, -0.7648584430093508]

94: [0.93717712805153, -0.8273717784552053]

3: [1.001459351921527, -0.8696443224082688]

55: [0.3700237345017, -0.2990341943062454]

71: [0.6633245811846769, -0.6563892147406314]

21: [0.6639489678111914, -0.6299210246756716]

39: [1.0697770275196916, -0.7573049651806834]

79: [0.601480822600485, -0.540598347648399]

63: [0.7371822946022516, -0.7182368377512753]

30: [1.0018012555592253, -0.586207495656932]

12: [0.5620577007735925, -0.7605083539508375]

47: [0.8986993331160678, -0.6662665261134977]

87: [1.0010881805968546, -0.8992589425778774]

95: [0.8104975783834744, -0.7677902792359903]

4: [1.08569608426692, -0.5779223530856714]

56: [0.7487357172060949, -0.6242433642829015]

40: [0.6747707316552694, -0.6334549870826008]

72: [0.7935437071350634, -0.4000585742152326]

22: [0.5936089968754288, -0.6992464740299122]

80: [1.0957431727095408, -0.6942189075311013]

48: [0.7598551806300087, -0.738286078419697]

64: [0.9836732451239041, -0.7534015799352283]

31: [0.8886485315624664, -0.7909077752392848]

13: [0.8536722962340012, -0.9561024801230688]

88: [0.5398854251582943, -0.5173208713283909]

5: [0.7494480998085884, -0.6491961892931666]

96: [0.9683455863120015, -0.6995014747587208]

57: [0.9430534729237899, -0.46629510641101823]

41: [0.8336816481822347, -0.7672699197132535]

23: [0.9464450470120489, -0.7724913597035338]

73: [0.9907300592162228, -0.7707546928072009]

32: [0.675959419898703, -0.6664144530669489]

65: [0.9491419891255848, -0.8764980608355937]

81: [0.8739650968875717, -0.8674115023097755]

14: [0.738344628000914, -0.7041120256863022]

49: [1.0388347409661112, -0.7932172982362726]

6: [0.7732523991376774, -0.7894719379441969]

89: [0.9036108733282087, -0.9144097070894844]

