1: [1.0816183954628802, -0.7522228773215351]

69: [0.9647790577322064, -0.4462507592660168]

85: [1.0874591228231942, -0.7577268403290864]

45: [0.9820275737794657, -0.7393827189169997]

53: [1.1327500595075377, -0.6433265185761001]

28: [1.027979605605465, -0.8486034189216181]

77: [0.9812242977131969, -0.8454268987362532]

37: [0.935827614982507, -0.8649759978224189]

61: [0.9789088839974559, -0.8137512872816226]

19: [0.8139643242709791, -0.7555086674263038]

93: [1.1333040027252825, -0.7143554546330064]

10: [0.8841645689899351, -0.8430630969529767]

2: [0.868460283799567, -0.9120223651040091]

46: [0.7471822715625505, -0.010477733279729118]

70: [1.0693484911071476, -0.8953107354506583]

54: [0.6473715343308213, -0.7054286962735512]

86: [1.0024976458521053, -0.8579799172571139]

29: [0.7687452936217299, -0.8852384868264624]

62: [0.8960194111944821, -0.5590767510846137]

38: [1.159112902265658, -0.7603547358199988]

94: [1.0853330051002685, -0.8754371121117728]

78: [1.1605345678358507, -0.724253847140246]

20: [0.8255275023236536, -0.7920138857570493]

11: [1.0062495173978985, -0.6660634138996963]

3: [0.9417224416218326, -0.6852043167772295]

47: [0.8884036099711898, -0.8169064831906026]

87: [1.1215811109842675, -0.8923221999785967]

71: [0.9665683403670835, -0.8488751474070204]

55: [1.099681275785622, -0.7782273164433446]

39: [1.2226250739486937, -0.643857113034733]

30: [1.2906698047882184, -0.4359397511633131]

95: [1.167294602740266, -0.8781809210583038]

12: [0.955293350565407, -0.8365870677545534]

21: [1.0047867343925585, -0.5990978863190976]

79: [0.934583779802985, -0.7767041591881947]

63: [0.9195561131455359, -0.8024295917962763]

4: [0.754486739896037, -0.699956188671944]

48: [1.203142858296337, -0.5226461669391094]

56: [0.7667297556002493, -0.5565775464587618]

72: [1.009589855955989, -0.8891858425288601]

88: [0.8203104859618889, -0.9007945008030305]

22: [0.7858592653862815, -0.4954769783830211]

40: [1.261159455635527, -0.6112853368340171]

5: [1.1297491974073588, -0.8540849573662905]

31: [1.054405833461899, -0.8601785555677084]

80: [0.9670358539139476, -0.899426552098809]

13: [0.8169345514264764, -0.6765109147032775]

96: [1.0695897527366953, -0.747430284188768]

64: [1.160001362339159, -0.7650602898712691]

73: [0.7801006609847142, -0.5854791338937528]

49: [0.993019024120158, -0.8152460656765306]

6: [1.0437275098521925, -0.7132051014852356]

23: [1.0643611938509845, -0.5665825953254701]

89: [1.006137568373724, -0.8221942243415127]

57: [0.9509171444285321, -0.9053952396590317]

41: [1.1088008304366217, -0.8377053649803278]

81: [0.8886861741409411, -0.5733565267495885]

14: [1.222226273274638, -0.4522478072078961]

32: [0.9958729624571471, -0.839655103043152]

97: [1.0470514628647938, -0.9071477487711546]

65: [1.0964190570285346, -0.920675854092433]

7: [0.8625936352949666, -0.7093730514084479]

74: [0.8801795077955159, -0.782379514226381]

90: [0.9172605202465234, -0.6277924932811599]

50: [1.0376438425497438, -0.9473924219836296]

24: [1.106907479613305, -0.9936392010057729]

82: [1.1126713160186201, -0.44234715522622287]

58: [0.9163895307521721, -0.9407816624261305]

15: [1.767184796590586, -0.2264262115838826]

33: [0.9987728052471894, -0.6265726897660234]

66: [1.031865803772103, -0.7217163847544334]

98: [1.000885213531312, -0.874385539423906]

8: [1.2502417567102206, -0.864084586956551]

42: [0.9382752228262077, -0.7618137444634783]

75: [1.0720603064799048, -0.7702000396571416]

91: [1.0223833824820212, -0.8385277993454612]

25: [0.9432450624908417, -0.760934765761004]

51: [1.3723225681693705, -0.4046141494416029]

83: [1.2958718479648814, -0.6338389879509458]

59: [0.8386509007440612, -0.7613467149416799]

16: [0.9357593917267045, -0.7829290017654598]

9: [0.9633254633986192, -0.8601820218512148]

43: [0.875825708117797, -0.63443730293406]

34: [1.0689461663146984, -0.8168400231118098]

67: [1.0585715976451027, -0.6727865384686736]

99: [0.9297281302773216, -0.9547498093267204]

26: [0.8477001780845563, -0.7154704656062681]

92: [1.0325369427893263, -0.970269241023995]

76: [1.4223539444646596, -0.6238725729573555]

84: [0.9073340021091666, -0.7530887998903955]

52: [0.8978690952875505, -1.0151237103261466]

17: [0.8720137230841492, -0.6411567043429576]

44: [1.0663194756090721, -0.591196993400431]

60: [0.9586344305038603, -0.9333944568598591]

35: [1.098583676900707, -0.6894132125085787]

68: [0.8760259098030564, -0.7584987771646486]

100: [1.3579115260057397, -0.4268243089718662]

27: [0.8032104615010938, -0.7294923043860291]

18: [1.0387001243233478, -0.6948536548607067]

36: [0.9543479939100961, -0.8853440315866985]

